reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
30bc2f12-72d1-46bd-9fd3-d7ae372fe687,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saran untuk developer tokopedia., -pilihan alasan untuk membatalkan pesanan sebaiknya di tambahkan lagi pilihan yg lainnya, jadi pembeli bisa ketik alasan secara manual tergantung alasan kenapa di batalkan.jadi pembeli bisa langsung memberi masukan kpd penjual. jadi biar fair,karena banyak penjual yg kurang kooperatif,seperti bilang stok ada, ternyata setelah chekout pembayaran baru bilang kosong. mungkin dari pihak tokopedia bisa menegur semua penjual mengenai update stok yg real. trimakasih",5,717,3.305.0,2025-03-28 02:35:50,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui http://tokopedia.com/help",2025-03-28 03:07:01,3.305.0
9e6f6bd1-e1e8-4de7-bbbd-bfa2154abfda,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Pengirimannya lama, udah hampir 3 hari masih dikota sipengirim karna discount gratis ongkir barangnya ga diprioritaskan untuk dikirim, padahal pake yang J&T Express, mungkin kalo dibandingkan dengan toko sebelah yang orange kelas pengiriman hemat tapi ga selambat ini sih 4 hari sampe klopun hemat.",5,301,3.305.0,2025-04-05 12:01:15,"Terima kasih sudah mempercayakan Tokopedia sebagai tempat bertransaksi online pilihan Toppers. Jika ada kritik/saran, atau kendala pada aplikasi Tokopedia, silakan hubungi Tokopedia Care melalui http://tokopedia.com/help ya. Yuk transaksi lagi karena semua Ada dan Bisa di Tokopedia!",2025-04-05 12:27:01,3.305.0
2e9791a6-c641-4273-b91a-17f5aadcb4bc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Masukan untuk team developer TOKOPEDIA , alangkah baiknya kalau dibuatkan rating bintang khusus untuk pengiriman,jadi bkn cuma toko yg pembeli bisa kasih rating tapi pengiriman/ ekspedisi jg bisa diberi rating bintang. Karna selama ini kalau ekspedisi yg selalu lewat estimasi pengiriman maka pembeli akan memberi rating jelek yg berimbas ke seller padahal kesalahan ada di kurir/ekspedisi. Mohon di pertimbangkan.",5,1469,3.301.1,2025-03-01 04:07:14,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui http://tokopedia.com/help",2025-03-01 04:27:01,3.301.1
fafb6d47-d9e7-43d6-b4b2-1f2d612e0e01,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Udahan lah, setelah ini gamau pakai lagi. banyak bermasalah semua dan bikin kecewa. dari penjual yg di chat bilang barang ready setelah di order ga di proses sampai dibatalkan sistem, order barang tertulis tokonya daerah Tangerang dan posisi saya di Kalideres seminggu belum sampai. limit gopaylater juga gabisa dipakai padahal ga pernah telat bayar, selalu bayar sebelum tgl jatuh tempo. mau upload foto produk yg seminggu baru sampai tapi gabisa, aplikasi selalu tutup paksa saat upload foto",5,11,3.305.0,2025-04-10 02:07:13,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui http://tokopedia.com/help",2025-04-10 02:27:04,3.305.0
0d0eb7a8-9247-420a-95d4-84de1737a80c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tolong lah admin masa ga bisa check out barang dari jauh?, padahal lokasi toko terdekat nya aja ga ada paling ada 1-4 toko saja. Mau check out barang nya harus ubah alamat nya dan baru bisa Check out barang nya. tolonglah bikin permudah para pengguna aplikasi ini. (check out / beli)",5,0,3.305.0,2025-04-11 08:38:43,"Hi Toppers, terima kasih untuk rating dan ulasan baiknya, ya! Kami akan terus meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi terbaik bagi semua pengguna. Yuk tingkatkan terus transaksi kamu!",2025-04-11 09:07:02,3.305.0
73c683be-2804-4dbd-99ff-09908f1bbff0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,yang saya suka dari Tokopedia skrng bayar bisa menggunakan e-wallet seperti dana jadi gak perlu ribet harus top up ke aplikasi lain. untuk kedepannya mungkin UI jangan terlalu diperberat seperti toko sebelah,5,67,3.305.0,2025-04-05 03:39:44,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui http://tokopedia.com/help",2025-04-05 04:07:02,3.305.0
6a486218-360b-419c-b1a9-9c380e5f9ea9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,toko pedia skrng gak kayak dulu lagi . sellernya ada yg ngeselin . di ordert barang di proses. tp gak di kirim kirim . nunggu batal otomatis kadang lama . ada yg SMPK 10 HR. tolong toped . pilih pilih seller ya . biar konsumen tidak kecewa .,5,0,3.305.0,2025-04-09 17:25:13,"Terima kasih sudah mempercayakan Tokopedia sebagai tempat bertransaksi online pilihan Toppers. Jika ada kritik/saran, atau kendala pada aplikasi Tokopedia, silakan hubungi Tokopedia Care melalui http://tokopedia.com/help ya. Yuk transaksi lagi karena semua Ada dan Bisa di Tokopedia!",2025-04-09 17:47:02,3.305.0
df940859-e7d4-4a50-a533-720331120214,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"keren toped 1 aplikasi dengan berbagai kemudahan belanja dan pembayaran, kalo bisa saya kasih saran tolong dong buat pelacakan pengiriman di kasih tau posisi yg tepat seperti dalam maps itu aja sih selebihnya oke",5,30,3.305.0,2025-04-06 12:31:07,"Hi Toppers, terima kasih untuk rating dan ulasan baiknya, ya! Kami akan terus meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi terbaik bagi semua pengguna. Yuk tingkatkan terus transaksi kamu!",2025-04-06 13:07:03,3.305.0
c2695776-4795-4c00-b918-da2112d64926,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Transaksi pake Qris ga guna malah rugi, di qrisnya udah sukses terkirim tapi di Tokopedia malah belum sukses disuruh bayar lagi. Mana uangnya ga kembali. Tokopedia kembalikan uangku!!! Ada ga email yang bisa dihubungi untuk memberikan bukti pembayaran & kerusakan di aplikasi Tokopedia? Update terbaru, saldo kembali setelah beberapa hari tapi jadi Saldo Tokopedia",5,644,3.302.0,2025-03-11 04:34:06,"Hi Toppers, terima kasih untuk rating dan ulasan baiknya, ya! Kami akan terus meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi terbaik bagi semua pengguna. Yuk tingkatkan terus transaksi kamu!",2025-03-11 05:07:01,3.302.0
d439bec7-d068-486f-9816-1b7ecdd1f09c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"puas banget belanja di sini selain banyak promo juga pengirimannya cepat langsung diproses..tapi kemarin ada kendala pas mau belanja lagi itu dibatalkan secara otomatis,, lumayan agak kecewa dari situ,.mohon diperbaiki lagi ya sistemnya",5,404,3.297.0,2025-02-04 00:34:41,"Hi Toppers, terima kasih untuk rating dan ulasan baiknya, ya! Kami akan terus meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi terbaik bagi semua pengguna. Yuk tingkatkan terus transaksi kamu!",2025-02-04 01:07:02,3.297.0
